# age = 359330563362.59906 years
#            r (R_sun)                        m (M_sun)                       rho (g/cm^3)                        T (K)                         P (dyn/cm^2)                          mu                              mu_e                          L (L_sun)                            X                                Y                              grad_a                           grad_T                      q_nuc (erg/g/s)         
             0.0005978335175847861            2.343808624702385e-08               154.51865875668517                9268605.871562606           1.3929629957845242e+17                0.871982927250264                1.509282576112357           1.5672508589111368e-08              0.32502997138138784               0.6543500531650926               0.3948397659339091              0.39483976074337956             0.023646414051542237
             0.0007532251258432674           4.6876174690532035e-08               154.51609752521597                9268504.670045601           1.3929244756608642e+17               0.8719829266270417               1.5092825761123565            3.134258180555028e-08               0.3250299713813876               0.6543500531650907                0.394839753832868               0.3948397497670026              0.02364459985209125
             0.0009490086316342379             9.37523517772288e-08               154.51304823867224                9268384.184022106           1.3928786160024749e+17               0.8719829258858791               1.5092825761123552            6.267692706410867e-08               0.3250299713813873               0.6543500531650868              0.39483973942679806               0.3948397324340847             0.023642440134159674
              0.001195684991763756           1.8750470591734224e-07               154.50820779836926                9268192.923407558            1.392805819692932e+17               0.8719829247112907               1.5092825761123538           1.2532720459807916e-07                0.325029971381387               0.6543500531650828              0.39483971656027783               0.3948397049996002             0.023639012199456938
             0.0015064868720389404            3.750094142641293e-07               154.50052408357686                9267889.313823143           1.3926902662479894e+17                0.871982922851638               1.5092825761123523           2.5056932706278726e-07               0.3250299713813868               0.6543500531650787              0.39483968026621413              0.39483966152291583              0.02363357171271002
              0.001898090951181587            7.500188309909835e-07               154.48832696321628                9267407.358029427           1.3925068454416528e+17               0.8719829199120033               1.5092825761123516             5.00868185522659e-07              0.32502997138138645               0.6543500531650744               0.3948396226637387               0.3948395925812888             0.023624938051143966
              0.002391517652185097           1.5000376644779719e-06               154.46896528599677                9266642.286839578           1.3922157054121312e+17               0.8719829152770502               1.5092825761123498            1.000877969735557e-06               0.3250299713813861               0.6543500531650707              0.39483953125252425               0.3948394832330599             0.023611239449236984
              0.003013269301028169           3.0000753314186688e-06                154.4382306531684                9265427.776687961           1.3917536057770906e+17                0.871982907999629               1.5092825761123485           1.9990341519246815e-06              0.32502997138138584               0.6543500531650667              0.39483938621391396              0.39483930978428355             0.023589510594188127
             0.0036073027946735433            5.146280348151838e-06               154.39870151761943                 9263865.60049545           1.3911593678820611e+17                0.871982898795606               1.5092825761123476            3.423742589633388e-06              0.32502997138138556               0.6543500531650628              0.39483919976990123               0.3948391083807751             0.023561592465078853
               0.00405194928685555            7.292485364885008e-06               154.35983060548244                9262329.253320191           1.3905751179767426e+17               0.8719828899225226               1.5092825761123458           4.8450958415199055e-06              0.32502997138138523                0.654350053165058               0.3948390165255085              0.39483893523781055              0.02353416983269142
              0.004728310078539758           1.1584895398218226e-05               154.30791776905906                  9260277.4236543           1.3897950249009894e+17               0.8719828783181349               1.5092825761123438            7.678868574517658e-06               0.3250299713813848               0.6543500531650512              0.39483877203509654               0.3948386326987873             0.023497597436488413
              0.005689014775998212           2.0169715465250744e-05               154.21893629068038                9256760.181039952           1.3884583518991094e+17               0.8719828591371748               1.5092825761123418            1.331593467032677e-05              0.32502997138138434                0.654350053165046              0.39483835349229135              0.39483812216376024             0.023435042086204748
              0.006987069396575837           3.7339355599182664e-05               154.07100579842736                9250911.960171152           1.3862374039642989e+17               0.8719828293349772               1.5092825761123405           2.4489537396091066e-05              0.32502997138138406               0.6543500531650416              0.39483765908488183               0.3948372833460637             0.023331411095584887
              0.008686981125628093            7.167863586711306e-05               153.83005733260356                9241384.064499544           1.3826232767085866e+17               0.8719827868135489               1.5092825761123387            4.651356027203084e-05               0.3250299713813838               0.6543500531650376               0.3948365315786924               0.3948359295641824             0.023163589958292395
              0.010874714579754103           0.00014035719640294057                153.4423258752641                9226045.702061146           1.3768161531824606e+17               0.8719827359236184                1.509282576112338            8.954346138098463e-05              0.32502997138138345               0.6543500531650339               0.3948347254200449               0.3918639910572992             0.022896036558414504
              0.013269714546549833            0.0002543830204097546                152.8903333438363                9204452.643093424            1.368604197690038e+17               0.8719826714580665                1.509282576112337            0.0001586779580669037               0.3250299713813833               0.6543500531650305               0.3948322544150962              0.38641676311406636             0.022523742048835137
              0.016775732700460372            0.0005116213292560614                151.9622385726279                9168934.373313243           1.3549627898475813e+17               0.8719825790608873               1.5092825761123354            0.0003064751071836223              0.32502997138138306               0.6543500531650273              0.39482839973402273              0.37667052787900357             0.021921536193707968
              0.020943231696357662             0.000988624404053535               150.48763001786585                 9114604.52684325           1.3337207650580901e+17               0.8719825152945225                1.509282576112335            0.0005590115812149597                0.325029971381383               0.6543500531650245               0.3948230087976072               0.3630189717742965              0.02102319553034475
              0.025524968553219556            0.0017729357095906254               148.41569202867188                9042211.036296492           1.3046929541321118e+17               0.8719827159986925               1.5092825761123339            0.0009316996972142113              0.32502997138138284               0.6543500531650215              0.39481664767941593              0.34606828897223657             0.019866865468175846
               0.02961012285910623             0.002740031387030216               145.99872600505998                 8963054.45446964           1.2719322216986278e+17               0.8719832714659663               1.5092825761123327            0.0013404836411118322               0.3250299713813829               0.6543500531650192               0.3948106810132014              0.32940847571037296             0.018651786009051555
               0.03285962935445518            0.0037071270644698064                143.1064594564132                 8890729.63529639            1.239141218924233e+17               0.8700364891345649               1.5068348423979747             0.001765026779775747               0.3271718082032508                0.652192289025038              0.39481779802499284              0.32649705965013026              0.01778670819857434
               0.03449093910323098             0.004263877193954598                141.2845726871855                8839520.044270515           1.2181132317366197e+17                0.868646509360715               1.5050827378869531             0.002001077307697618               0.3287092277635403               0.6506434367682143              0.39482030460367656               0.3252585331002219             0.017218465099816487
               0.03599393107536649             0.004820627323439425                140.0181506194136                8803911.303988967           1.2035736624003958e+17               0.8676725639999334               1.5038536791921036             0.002231414556136563              0.32978982807679746               0.6495548007984744              0.39482172101470797               0.3240770513043969             0.016830474187919678
               0.03888997498213059             0.006015410396470533               138.11116009813384                8750296.998300299           1.1818019152259674e+17               0.8661939172614691               1.5019855922949674            0.0027075778253282516               0.3314356549448396               0.6478967350858018               0.3948232740496978               0.3214910627471058             0.016257457479532663
