# age = 4792815180.190624 years
#            r (R_sun)                        m (M_sun)                       rho (g/cm^3)                        T (K)                         P (dyn/cm^2)                          mu                              mu_e                          L (L_sun)                            X                                Y                              grad_a                           grad_T                      q_nuc (erg/g/s)         
             0.0008934959325183466            7.813020660240057e-08                154.2910716421559               15761280.952184664           2.3536211846562928e+17               0.8659707432355597               1.5025914943710077            6.973405003617106e-07              0.33103139417701355               0.6483752752327493               0.3958168718705658                0.330925352392024               0.6601761675093059
             0.0011257425357446894           1.5626042341729353e-07               154.28434685579603               15761090.834569847           2.3535353955636493e+17               0.8659543442465449                1.502570863645939            1.394649038114085e-06               0.3310496692468228               0.6483569763637252              0.39581694028043407              0.33092607225144727               0.6601125347977258
             0.0014183641255639584            3.125208569360741e-07               154.27635799720755               15760864.491017632           2.3534332622550483e+17               0.8659349141664462               1.5025464194440195           2.7891892628262223e-06              0.33107132301175124                0.648335294301219               0.3958170214274208              0.33092636580048496               0.6600365972825603
             0.0017870622684097806            6.250417237516244e-07               154.26367663577557               15760505.197858833           2.3532711436877565e+17               0.8659040682526402               1.5025076129666992            5.578025809628543e-06              0.33110570096823655               0.6483008714363142              0.39581715026308106              0.33092641203575074               0.6599160860733719
             0.0022516286746469528           1.2500834573827254e-06               154.24354726595618               15759934.869253263            2.353013816918875e+17               0.8658551003126551               1.5024460064252798           1.1154924908121824e-05               0.3311602807364463               0.6482462204098378               0.3958173548232635               0.3309262831154479               0.6597248610055119
             0.0028370172410239368           2.5001669244229164e-06                154.2115977234838               15759029.564844126           2.3526053878731514e+17               0.8657773674238792                1.502348207716462           2.2306267243745267e-05              0.33124693382651127               0.6481594542806305               0.3958176796367765              0.33092599173488674               0.6594214847680482
             0.0035747036920852726           5.0003338585032985e-06               154.16089308787647               15757592.574842772           2.3519571777705043e+17                0.865653984563999               1.5021929675160361           4.4601160989610134e-05               0.3313845052627276               0.6480217036023824              0.39581819543920305              0.33092551273888027               0.6589403180158011
              0.004504416521752198           1.0000667726664062e-05               154.08043979373318                 15755311.7256863           2.3509285375714253e+17               0.8654581790016009               1.5019465863216221            8.916623891468688e-05              0.33160290280043103               0.6478030220383901              0.39581901461846336              0.33092479361909993                0.658177499242304
              0.005397529471584274           1.7199137566832355e-05                153.9766578664582               15752367.909970796           2.3496013677603677e+17               0.8652055390591208               1.5016286569302315           0.00015327617234013504               0.3318848280815321               0.6475207310389415               0.3958200726755144              0.33092537312758535               0.6571945735615796
              0.006065451041393689           2.4397607407000647e-05               153.87451402289673               15749468.606220655           2.3482948022494355e+17               0.8649568334168296               1.5013156418757458            0.0002173409965757857              0.33216251219273873               0.6472426876985606               0.3958211154658011              0.33092692293966564               0.6562282438769692
              0.007081091937047549           3.8794547087670246e-05               153.73828011139466                15745598.63260403           2.3465514277042922e+17               0.8646251166233723               1.5008980951981128            0.0003453503356572743               0.3325331094132565               0.6468716124846929               0.3958225082492144               0.3309282958944289               0.6549408489986989
              0.008523743574109312            6.758842644812141e-05               153.50520163163736                15738969.11640512           2.3435667625332314e+17                0.864057547980324               1.5001835267107422            0.0006009574282183747               0.3331678095174405               0.6462360975319169              0.39582489626074613               0.3309289492113897               0.6527420004199155
              0.010474078425768382           0.00012517618516913473               153.11883728227264               15727955.113782644           2.3386133249945664e+17               0.8631166709201946               1.4989985756462414            0.0011108070694649513               0.3342216504309075               0.6451809139750387              0.39582886816599305              0.33092850188499506               0.6491067876948956
               0.01303147891352067            0.0002403517026116054                152.4924539800661               15710031.494347809            2.330566134508163e+17               0.8615913682581732                1.497076629608053             0.002126079517806199               0.3359344876719218               0.6434659212897278               0.3958353394972149              0.33092653200834565               0.6432376024099131
               0.01633021861940638           0.00047070273749676877               151.49373935532387               15681226.236036424           2.3176691484167315e+17                0.859165190813521                1.494017358695276            0.0041423838625243015              0.33866999727627883               0.6407270267591486               0.3958457120380958               0.3309159770391534                0.633905012604993
                0.0199523428296241            0.0008530151023446511                150.0918314579422               15640484.612015214           2.2995083436586512e+17               0.8557508975210113               1.4897084682531012             0.007455842304820594              0.34254193434784763               0.6368504537229879               0.3958603946493273              0.33091929085543365               0.6209809020736479
               0.02528364444140229             0.001715486524551435               147.80035878810884               15572765.243611915            2.269502249065949e+17               0.8501922521387302               1.4826877794932112             0.014807194107411733              0.34889887382189555               0.6304862106635769               0.3958844107281497               0.3308064728732843               0.6000496647390259
               0.03167303245473781             0.003314756244188509               144.30903103942885               15467206.082422864           2.2232209626398726e+17               0.8417124281301255                1.471978269394809             0.028087167421938963              0.35871267402395957               0.6206619413241007              0.39592051394533284               0.3304985644401199               0.5689291804662017
                0.0387732220301322             0.005944316216141165               139.69071138880977               15322747.681968853           2.1608406375341866e+17               0.8304781477302198               1.4578325881734844               0.0491445922701011               0.3718962284097498               0.6074657158451792              0.39596565251725474                0.330026228780382               0.5290920280839527
               0.04517663082127807             0.009186665549343803               134.68075842442903                15159314.08261189            2.091675363887403e+17               0.8182113294729003               1.4425162151756903              0.07404656366583295               0.3864623490817505               0.5928872812923073               0.3960102733849133               0.3295089243377471               0.4876425279414166
              0.052902319936495135             0.014295602892191178                128.8494965413641               14960281.458749318            2.009187441281607e+17               0.8038002331622697               1.4247982649614461              0.11128944814375123              0.40370300964812156               0.5756340534649629              0.39605936831365823              0.32863303957707335               0.4418945059641095
